Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,"0,25",c. à s. ,Vinaigre,Épicerie,,,,,,,,,Calcium,5,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,,,,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,1 c. à s. Huile neutre,15 g,Calories,"134,85",kcal,,,,,,,,,,,,,,,,,,,,
Salade niçoise,1,,Tomates,Primeur ou producteur,"Faites cuire les œufs 9 minutes dans de l'eau salée bouillante, puis retirez leurs coquilles et coupez-les en petits dés. Coupez les tomates en petits dés et les oignons en fines lamelles.

Mélangez tous les ingrédients dans un saladier, puis servez.

Option végétarienne : Supprimez le thon et les filets d'anchois et remplacez-les par des cœurs de palmiers ou d'artichauts",,Calories,"270,7",kcal,,,,Protéines,0,g,,,,,,,,,,,,,,,,,,,,
,1,,Œufs,Épicerie,,,Protéines,"13,1554",g,,,,Lipides,"14,985",g,,,,,,,,,,,,,,,,,,,,
,50,g,Salade verte,Primeur ou producteur,,,Lipides,"18,0079",g,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Glucides,"11,46675",g,,,,Calcium,"0,1845",mg,,,,,,,,,,,,,,,,,,,,
,"1,5",,Filets d'anchois,Poissonnerie,,,Calcium,"178,83525",mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,20,g,Olives noires,Primeur ou producteur,,,Vitamines C,"28,8855",mg,,1 c. à c. Sauce soja,4 g,Calories,"1,848",kcal,,,,,,,,,,,,,,,,,,,,
,"62,5",g,Haricots verts,Primeur ou producteur,,,,,,,,,Protéines,"0,2832",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,,,,,,,Lipides,"0,004",g,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,,,,,,,Glucides,"0,1532",g,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,,,,,,,Calcium,"1,092",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
Salade grecque,"0,5",,Tomates,Primeur ou producteur,"Découpez les tomates, le fromage et les concombres en petits dés, et les oignons rouges en fines lamelles. Mettez le tout dans un grand saladier.

Ajoutez le jus de citron, l'huile, le vinaigre, le sel et le poivre. Mélangez et servir",N'hésitez pas à rajouter des herbes locales !,Calories,"224,55",kcal,,1 feuille de brick,20 g,Calories,"75,6",kcal,,,,,,,,,,,,,,,,,,,,
,"0,125",,Concombres,Primeur ou producteur,,,Protéines,"8,60065",g,,,,Protéines,"1,232",g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons rouges,Primeur ou producteur,,,Lipides,"19,34865",g,,,,Lipides,"0,352",g,,,,,,,,,,,,,,,,,,,,
,50,g,Feta ou fromage de brebis,Fromagerie,,,Glucides,"6,92475",g,,,,Glucides,"16,48",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Calcium,"183,29775",mg,,,,Calcium,22,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Vitamines C,"14,223",mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,,,,,Viande hachée,100 g,Calories,198,kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Protéines,"15,8",g,,,,,,,,,,,,,,,,,,,,
Minestrone,"37,5",g,Pâtes,Épicerie,"La veille, faites tremper les haricots blancs dans un saladier d'eau froide. Le lendemain, égouttez-les, mettez-les dans une casserole, couvrez d'eau et laissez mijoter pendant 30 min puis égouttez à nouveau.

Epluchez les légumes, et coupez-les en petits morceaux. Pelez l'ail et hachez-le finement. Faites revenir le tout dans une grosse casserole, ajoutez les haricots blancs, le bouquet garni et de l'eau, puis faites cuire le tout doucement pendant une demi-heure environ.

10 minutes avant la fin, retirez le bouquet garni et ajoutez les pâtes. Servez bien chaud.",N'hésitez pas à acheter des pâtes fraîches ou à les faire vous-même !,Calories,"534,625",kcal,,,,Lipides,"13,6",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Courgettes,Primeur ou producteur,,,Protéines,"18,32775",g,,,,Glucides,"2,48",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Tomates,Primeur ou producteur,,,Lipides,"19,0485",g,,,,Calcium,5,mg,suisse,,,,,,,,,,,,,,,,,,,
,50,g,Haricots blancs secs,Primeur ou producteur,,,Glucides,"61,2725",g,,,,Vitamines C,0,mg,suisse,,,,,,,,,,,,,,,,,,,
,"0,5",,Carottes,Primeur ou producteur,,,Calcium,"485,2805",mg,,1 c. à c. Curry en poudre,2 g,Calories,"6,02",kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Bouquets garnis,Épicerie,,,Vitamines C,"43,66",mg,,,,Protéines,"0,29",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Épicerie,,,,,,,,,Lipides,"0,28",g,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,,,,,,,Glucides,"0,0526",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,"10,5",mg,,,,,,,,,,,,,,,,,,,,
Buddha bowl,70,g,Riz,Épicerie,"Faites cuire le riz une dizaine de minutes dans de l'eau bouillante salée.

Épluchez les concombres et les carottes, et coupez-les en lamelles fines avec les choux rouges et le poisson. Mélangez l'huile, le vinaigre, le jus de citron et assaisonnez. Dans une gamelle, servez le riz froid en premier, puis mettez toutes les garnitures et ajoutez la vinaigrette en dernier lieu.

Option végétarienne : Il suffit de retirer le poisson et de mettre à la place du tofu fumé ou des pousses de soja.",N'hésitez pas à modifier les garnitures en fonction de ce que vous trouvez près de votre lieu de camp !,Calories,"447,925",kcal,,,,Vitamines C,"0,014",mg,,,,,,,,,,,,,,,,,,,,
,50,g,Poisson local,Poissonnerie,,,Protéines,"19,39365",g,,Farine,100 g,Calories,356,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",,Concombres,Primeur ou producteur,,,Lipides,"9,71315",g,,,,Protéines,"9,06",g,,,,,,,,,,,,,,,,,,,,
,"0,1",,Choux rouges,Primeur ou producteur,,,Glucides,"67,261",g,,,,Lipides,"0,85",g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Carottes,Primeur ou producteur,,,Calcium,"152,72775",mg,,,,Glucides,"75,9",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Vitamines C,"105,5905",mg,,,,Calcium,"17,4",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,,,,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,,,,,Levure boulangère,100 g,Calories,96,kcal,suisse,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Protéines,"44,5",g,,,,,,,,,,,,,,,,,,,,
Pâtes à la sauce tomate faite maison,100,g,Pâtes,Épicerie,"Faites cuire les pâtes dans de l'eau bouillante salée.

Pelez les tomates et coupez-les petits morceaux. Pelez les oignons et l'ail, et hachez le tout finement. Faites revenir ces derniers dans une casserole avec de l'huile d'olive. Ajoutez ensuite les tomates et remuez bien, puis laissez le tout cuire doucement assez longtemps (au moins une demi-heure) avec le bouquet garni.

Retirez le bouquet garni, égouttez les pâtes quand elles sont cuites et mélangez le tout, puis servez bien chaud.",N'hésitez pas à acheter des pâtes fraîches ou à les faire vous-même !,Calories,"552,725",kcal,,,,Lipides,"6,37",g,,,,,,,,,,,,,,,,,,,,
,2,,Tomates,Primeur ou producteur,,,Protéines,"16,28025",g,,,,Glucides,"17,9",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Lipides,"12,25725",g,,,,Calcium,30,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Glucides,"84,975",g,,,,Vitamines C,"0,3",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Calcium,"398,23525",mg,,Fromage rapé,100 g,Calories,367,kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Bouquets garnis,Épicerie,,,Vitamines C,"46,44",mg,,,,Protéines,"28,1",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,"28,6",g,,,,,,,,,,,,,,,,,,,,
Pâtes aux champignons,100,g,Pâtes,Épicerie,"Faites cuire les pâtes dans de l'eau bouillante salée.

Pelez les oignons et hachez-les finement. Coupez les champignons en lamelles fines. Faites revenir les oignons dans une casserole avec de l'huile d'olive. Ajoutez ensuite les champignons et faites-les bien revenir. Dès qu'ils sont bien revenus, ajoutez la moutarde, la crème et assaisonnez.

Égouttez les pâtes quand elles sont cuites et mélangez le tout, puis servez bien chaud.",N'hésitez pas à acheter des pâtes fraîches ou à les faire vous-même !,Calories,"647,1",kcal,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,15,g,Champignons de Paris,Primeur ou producteur,,,Protéines,"14,3656",g,,,,Calcium,979,mg,,,,,,,,,,,,,,,,,,,,
,75,ml,Crème fraîche épaisse,Épicerie,,,Lipides,"32,7875",g,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Moutarde,Épicerie,,,Glucides,"70,11565",g,,1 tranche de pain de mie,40 g,Calories,"113,6",kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Calcium,"91,23625",mg,,,,Protéines,"3,044",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Vitamines C,"2,31",mg,,,,Lipides,"1,74",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Glucides,"20,32",g,,,,,,,,,,,,,,,,,,,,
Pâtes à la carbonara,100,g,Pâtes,Épicerie,"Faites cuire les pâtes dans de l'eau bouillante salée.

Pelez les oignons et hachez-les finement. Faites les revenir dans une poêle avec les lardons et sans matière grasse, les lardons faisant office de matière grasse. Dès que les lardons sont suffisamment cuits à votre goût, ajoutez la crème, et assaisonnez à votre goût (attention à ne pas trop rajouter de sel, les lardons sont déjà suffisamment salés).

Égouttez les pâtes quand elles sont cuites et mélangez le tout, puis ajoutez les œufs et le parmesan râpé ou en copeaux sur les pâtes. Mélangez, et servez bien chaud.

Option végétarienne : Il suffit de retirer les lardons et de les remplacer soit par des champignons, soit par des oignons ou des échalotes, soit en ne les remplaçant pas, les lardons n'apportant que peu d'apports nutritifs.",N'hésitez pas à acheter des pâtes fraîches ou à les faire vous-même !,Calories,"836,125",kcal,,,,Calcium,"48,8",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Œufs,Épicerie,,,Protéines,"32,645",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,75,ml,Crème fraîche épaisse,Épicerie,,,Lipides,"45,847",g,,1 Yaourt,125 g,Calories,"79,875",kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Glucides,"70,00175",g,,,,Protéines,"4,8375",g,,,,,,,,,,,,,,,,,,,,
,50,g,Lardons fumés,Boucherie,,,Calcium,"398,17",mg,,,,Lipides,"3,5125",g,,,,,,,,,,,,,,,,,,,,
,25,g,Parmesan,Fromagerie,,,Vitamines C,"2,2875",mg,,,,Glucides,"9,5875",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,"156,25",mg,,,,,,,,,,,,,,,,,,,,
Pâtes au pesto,100,g,Pâtes,Épicerie,"Faites cuire les pâtes dans de l'eau bouillante salée.

Mettez le basilic, les pignons, l'huile d'olive, l'ail et le parmesan dans un contenant creux solide et écrasez le tout (si nécessaire, écrasez au préalable les pignons de pin et l'ail). Assaisonnez la sauce.

Égouttez les pâtes quand elles sont cuites et mélangez le tout, puis servez bien chaud. ",N'hésitez pas à acheter des pâtes fraîches ou à les faire vous-même !,Calories,"602,105",kcal,,,,Vitamines C,"0,4125",mg,,,,,,,,,,,,,,,,,,,,
,1,tiges,Basilic,Épicerie,,,Protéines,"21,08325",g,,Sucre,100 g,Calories,399,kcal,,,,,,,,,,,,,,,,,,,,
,15,g,Pignons de pin,Épicerie,,,Lipides,"25,659",g,,,,Protéines,0,g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Glucides,"67,659",g,,,,Lipides,0,g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Calcium,"296,58525",mg,,,,Glucides,"99,7",g,,,,,,,,,,,,,,,,,,,,
,20,g,Parmesan,Fromagerie,,,Vitamines C,"2,7025",mg,,,,Calcium,"3,69",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
Pâtes à la bolognaise,100,g,Pâtes,Épicerie,"Faites cuire les pâtes dans de l'eau bouillante salée.

Pelez les tomates et coupez-les petits morceaux. Pelez les oignons et l'ail, et hachez le tout finement. Faites revenir ces derniers dans une casserole avec de l'huile d'olive. Ajoutez ensuite les tomates et remuez bien, puis laissez le tout cuire doucement assez longtemps (au moins une demi-heure) avec le bouquet garni. Retirez le bouquet garni, puis ajoutez la viande hachée. Laissez le tout mijoter jusqu'à ce que la viande soit cuite.

Égouttez les pâtes quand elles sont cuites et mélangez le tout, puis servez bien chaud.

Option végétarienne : Remplacez la viande hachée par des lentilles cuites.",N'hésitez pas à acheter des pâtes fraîches ou à les faire vous-même !,Calories,"651,725",kcal,,Lait,100 mL,Calories,"46,2",kcal,,,,,,,,,,,,,,,,,,,,
,50,g,Viande hachée,Boucherie,,,Protéines,"24,18025",g,,,,Protéines,"3,28",g,,,,,,,,,,,,,,,,,,,,
,2,,Tomates,Primeur ou producteur,,,Lipides,"19,05725",g,,,,Lipides,"1,57",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Glucides,"86,215",g,,,,Glucides,"4,82",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Calcium,"400,73525",mg,,,,Calcium,116,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Vitamines C,"46,44",mg,,,,Vitamines C,"1,39",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Bouquets garnis,Épicerie,,,,,,,Flocons d'avoine,100 g,Calories,367,kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Protéines,"13,3",g,,,,,,,,,,,,,,,,,,,,
Gratin de pâtes,100,g,Pâtes,Épicerie,"Faites cuire les pâtes dans de l'eau bouillante salée.

Égouttez les pâtes quand elles sont cuites, puis mettez-les dans un plat à gratin. Ajoutez la crème fraîche épaisse et la moitié du fromage, puis mélangez le tout. Finissez le fromage en le parsèment sur le plat. Remettez le tout sur le feu, couvert. L'effet gratiné ne sera pas réellement présent, mais le fromage fondu donnera déjà un effet de gratin. Servez bien chaud.",N'hésitez pas à acheter des pâtes fraîches ou à les faire vous-même !,Calories,"740,75",kcal,,,,Lipides,"6,51",g,,,,,,,,,,,,,,,,,,,,
,75,ml,Crème fraîche épaisse,Épicerie,,,Protéines,"27,4025",g,,,,Glucides,"57,9",g,,,,,,,,,,,,,,,,,,,,
,50,g,Fromage râpé,Fromagerie,,,Lipides,"38,965",g,,,,Calcium,"84,3",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Glucides,"67,4425",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"567,675",mg,,Noix de coco,100 g,Calories,690,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,625",mg,,,,Protéines,"6,62",g,,,,,,,,,,,,,,,,,,,,
Aubergines farcies,"0,5",,Aubergines,Primeur ou producteur,"Coupez les aubergines en deux dans le sens de la longueur. Avec un couteau, fendez la chair des aubergines en faisant des traits diagonaux. Mettez de l'huile d'olive sur la surface, et mettez-les cinq minutes de chaque côté sur une grille sur le feu.

Avec une cuillère à soupe, retirez la chair des aubergines et coupez la finement. Hachez finement les oignons, et faites-les revenir dans une casserole avec l'huile d'olive. Ajoutez ensuite la chair à saucisse, puis les tomates coupées en petits dés et l'ail haché finement, en laissant à feu très doux. Ajoutez la chair d'aubergine et assaisonnez. Finissez en rajoutant l'œuf battu, puis mélangez bien le tout.

Remplissez les demi-aubergines avec ce mélange, puis recouvrez-les de gruyère râpé. Placez-les dans un grand plat, couvrez le et mettez-le sur le feu 5 minutes, le temps que le fromage fonde.

Option végétarienne : Remplacez la chair à saucisse par de la mie de pain complet, de pain aux céréales ou de pain noir.",N'hésitez pas à rajouter des herbes dans la farce !,Calories,"500,875",kcal,,,,Lipides,"66,3",g,,,,,,,,,,,,,,,,,,,,
,1,,Oignons,Primeur ou producteur,,,Protéines,"22,5925",g,,,,Glucides,"8,56",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Tomates,Primeur ou producteur,,,Lipides,"36,343",g,,,,Calcium,"18,4",mg,,,,,,,,,,,,,,,,,,,,
,1,,Œufs,Épicerie,,,Glucides,"16,877",g,,,,Vitamines C,"1,5",mg,,,,,,,,,,,,,,,,,,,,
,50,g,Chair à saucisse,Boucherie,,,Calcium,"230,4605",mg,,Beurre de cacahuète,100 g,Calories,648,kcal,,,,,,,,,,,,,,,,,,,,
,"12,5",g,Fromage râpé,Fromagerie,,,Vitamines C,"17,1625",mg,,,,Protéines,"22,2",g,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,,,,,,,Lipides,"52,5",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Glucides,16,g,,,,,,,,,,,,,,,,,,,,
Courgettes farcies,"0,5",,Courgettes,Primeur ou producteur,"Coupez les courgettes en deux dans le sens de la longueur. Avec un couteau, fendez la chair des courgettes en faisant des traits diagonaux. Mettez de l'huile d'olive sur la surface, et mettez-les cinq minutes de chaque côté sur une grille sur le feu.

Avec une cuillère à soupe, retirez la chair des courgettes et coupez la finement. Hachez finement les oignons, et faites-les revenir dans une casserole avec l'huile d'olive. Ajoutez ensuite la chair à saucisse, puis les tomates coupées en petits dés et l'ail haché finement, en laissant à feu très doux. Ajoutez la chair de courgette et assaisonnez. Finissez en rajoutant l'œuf battu, puis mélangez bien le tout.

Remplissez les demi-courgettes avec ce mélange, puis recouvrez-les de gruyère râpé. Placez-les dans un grand plat, couvrez le et mettez-le sur le feu 5 minutes, le temps que le fromage fonde.

Option végétarienne : Remplacez la chair à saucisse par de la mie de pain complet, de pain aux céréales ou de pain noir.",N'hésitez pas à rajouter des herbes dans la farce !,Calories,"489,825",kcal,,,,Calcium,43,mg,,,,,,,,,,,,,,,,,,,,
,1,,Oignons,Primeur ou producteur,,,Protéines,"22,4375",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Tomates,Primeur ou producteur,,,Lipides,"36,458",g,,Graines de sésame,100 g,Calories,599,kcal,,,,,,,,,,,,,,,,,,,,
,1,,Œufs,Épicerie,,,Glucides,"15,542",g,,,,Protéines,"17,6",g,,,,,,,,,,,,,,,,,,,,
,50,g,Chair à saucisse,Boucherie,,,Calcium,"240,7855",mg,,,,Lipides,"49,7",g,,,,,,,,,,,,,,,,,,,,
,"12,5",g,Fromage râpé,Fromagerie,,,Vitamines C,"35,8875",mg,,,,Glucides,"9,81",g,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,,,,,,,Calcium,962,mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
Dhal de lentilles corail,50,g,Lentilles corail,Primeur ou producteur,"Hachez finement l'ail et les oignons, puis faites-les revenir dans une grande casserole avec l'huile d'olive. Dès qu'ils sont blonds, ajoutez les tomates coupées en petits dés, puis les lentilles corail et deux fois plus d'eau que de lentille corail. Laissez le tout mijoter un bon quart d'heure, avec les différents épices et assaisonnements.

Lorsque les lentilles coraux sont cuites, ajoutez le lait de coco, mélangez bien la préparation et servez le Dahl encore chaud.",,Calories,"339,195",kcal,,1 c. à s. Miel,15 g,Calories,"49,05",kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Tomates,Primeur ou producteur,,,Protéines,"15,609",g,,,,Protéines,"0,078",g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Lipides,"16,2775",g,,,,Lipides,0,g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Glucides,"27,52855",g,,,,Glucides,"12,195",g,,,,,,,,,,,,,,,,,,,,
,"42,5",ml,Lait de coco,Épicerie,,,Calcium,"45,67025",mg,,,,Calcium,"1,1895",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Curry en poudre,Épicerie,,,Vitamines C,"6,5105",mg,,,,Vitamines C,"0,12",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à c. ,Cumin,Épicerie,,,,,,,Pépites de chocolat,100 g,Calories,553,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Protéines,"7,43",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,"36,2",g,,,,,,,,,,,,,,,,,,,,
Crumble de légumes,"0,5",,Courgettes,Primeur ou producteur,"Lavez et découpez tous les légumes en petits dés, et faites-les revenir dans une grande poêle une dizaine de minutes, jusqu'à ce qu'ils soient tout juste cuits. Assaisonnez le tout avec le sel, le poivre et les herbes de Provence.

Mélangez le beurre, le parmesan, la farine et les herbes de Provence à la main.

Dans un plat, mettez-le mélange de légumes, puis la pâte à crumble par-dessus, couvrez le tout et mettez-le un gros quart d'heure sur le feu, jusqu'à ce que le crumble soit cuit. Servez bien chaud.",N'hésitez pas à faire varier les légumes en fonction de la saison et de la région !,Calories,"503,645",kcal,,,,Glucides,"45,9",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Aubergines,Primeur ou producteur,,,Protéines,"13,575",g,,,,Calcium,132,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Poivrons,Primeur ou producteur,,,Lipides,"35,283",g,,,,Vitamines C,"0,16",mg,,,,,,,,,,,,,,,,,,,,
,25,g,Farine,Épicerie,,,Glucides,"28,6675",g,,1 noisette,2 g,Calories,"13,6",kcal,,,,,,,,,,,,,,,,,,,,
,25,g,Beurre,Épicerie,,,Calcium,"310,26025",mg,,,,Protéines,"0,278",g,,,,,,,,,,,,,,,,,,,,
,20,g,Parmesan,Fromagerie,,,Vitamines C,"145,085",mg,,,,Lipides,"1,26",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Glucides,"0,1398",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c. ,Herbes de Provence,Épicerie,,,,,,,,,Calcium,"2,32",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,"0,01",mg,,,,,,,,,,,,,,,,,,,,
Tomates provençales,1,,Tomates,Primeur ou producteur,"Coupez les tomates en deux dans le sens de la hauteur, assaisonnez-les et recouvrez-les d'un filet d'huile. Placez-les ensuite dans un grand plat.

Hachez très finement l'ail et le persil, et mélangez le tout avec la chapelure, puis répartissez cette préparation sur les tomates. Couvrez-les, puis mettez-les une dizaine de minutes sur le feu, le temps que la chapelure cuise suffisamment. Servez bien chaud.","Faites votre chapelure vous-même avec du pain rassis que vous brisez en petits morceaux et que vous faites revenir avec de la matière grasse, de l'ail et des oignons !",Calories,"148,9833333",kcal,,Chocolat noir,100 g,Calories,553,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Protéines,"3,047749999",g,,,,Protéines,"7,43",g,,,,,,,,,,,,,,,,,,,,
,"0,083333333",bouquets,Persil plat,Épicerie,,,Lipides,"8,3865",g,,,,Lipides,"36,2",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Glucides,"13,58",g,,,,Glucides,"45,9",g,,,,,,,,,,,,,,,,,,,,
,15,g,Chapelure,Épicerie,,,Calcium,"39,43191659",mg,,,,Calcium,132,mg,,,,,,,,,,,,,,,,,,,,
